epsilon,original,privado
0.075,-15.02922071835633,-15.027233329614855
0.080,-15.02922071835633,-15.027357541411197
0.085,-15.02922071835633,-15.027467140055029
0.090,-15.02922071835633,-15.027564561071767
0.095,-15.02922071835633,-15.027651727244638
0.100,-15.02922071835633,-15.027730176800222
0.005,-14.588294529036828,-14.560139855199331
0.010,-14.588294529036828,-14.57421719211808
0.015,-14.588294529036828,-14.578909637757663
0.020,-14.588294529036828,-14.581255860577453
0.025,-14.588294529036828,-14.582663594269329
0.030,-14.588294529036828,-14.583602083397246
0.035,-14.588294529036828,-14.584272432774329
0.040,-14.588294529036828,-14.584775194807142
0.045,-14.588294529036828,-14.585166231943774
0.050,-14.588294529036828,-14.585479061653079
0.055,-14.588294529036828,-14.58573501323342
0.060,-14.588294529036828,-14.585948306217036
0.065,-14.588294529036828,-14.586128784895482
0.070,-14.588294529036828,-14.586283480905578
0.075,-14.588294529036828,-14.586417550780995
0.080,-14.588294529036828,-14.586534861921985
0.085,-14.588294529036828,-14.586638371752269
0.090,-14.588294529036828,-14.5867303804903
0.095,-14.588294529036828,-14.586812704098012
0.100,-14.588294529036828,-14.586886795344952
0.005,-12.915786030595813,-12.892076831574727
0.010,-12.915786030595813,-12.903931431085269
0.015,-12.915786030595813,-12.907882964255451
0.020,-12.915786030595813,-12.909858730840542
0.025,-12.915786030595813,-12.911044190791596
0.030,-12.915786030595813,-12.911834497425632
0.035,-12.915786030595813,-12.912399002164229
0.040,-12.915786030595813,-12.912822380718177
0.045,-12.915786030595813,-12.913151675149026
0.050,-12.915786030595813,-12.913415110693704
0.055,-12.915786030595813,-12.913630648866624
0.060,-12.915786030595813,-12.913810264010722
0.065,-12.915786030595813,-12.913962246055728
0.070,-12.915786030595813,-12.914092516380022
0.075,-12.915786030595813,-12.914205417327741
0.080,-12.915786030595813,-12.914304205656995
0.085,-12.915786030595813,-12.914391371829867
0.090,-12.915786030595813,-12.91446885287242
0.095,-12.915786030595813,-12.914538178015755
0.100,-12.915786030595813,-12.914600570644758
0.005,-12.504332531234065,-12.478993324780248
0.010,-12.504332531234065,-12.491662928007155
0.015,-12.504332531234065,-12.495886129082793
0.020,-12.504332531234065,-12.49799772962061
0.025,-12.504332531234065,-12.4992646899433
0.030,-12.504332531234065,-12.500109330158429
0.035,-12.504332531234065,-12.500712644597805
0.040,-12.504332531234065,-12.501165130427337
0.045,-12.504332531234065,-12.501517063850308
0.050,-12.504332531234065,-12.501798610588683
0.055,-12.504332531234065,-12.50202896701099
0.060,-12.504332531234065,-12.502220930696247
0.065,-12.504332531234065,-12.502383361506848
0.070,-12.504332531234065,-12.502522587915935
0.075,-12.504332531234065,-12.50264325080381
0.080,-12.504332531234065,-12.5027488308307
0.085,-12.504332531234065,-12.502841989677957
0.090,-12.504332531234065,-12.502924797542185
0.095,-12.504332531234065,-12.502998888789127
0.100,-12.504332531234065,-12.503065570911374
0.005,-12.400588878096164,-12.376456300521138
0.010,-12.400588878096164,-12.388522589308652
0.015,-12.400588878096164,-12.392544685571155
0.020,-12.400588878096164,-12.394555733702408
0.025,-12.400588878096164,-12.39576236258116
0.030,-12.400588878096164,-12.39656678183366
0.035,-12.400588878096164,-12.397141367014017
0.040,-12.400588878096164,-12.397572305899285
0.045,-12.400588878096164,-12.397907480587827
0.050,-12.400588878096164,-12.39817562033866
0.055,-12.400588878096164,-12.398395007407524
0.060,-12.400588878096164,-12.398577829964912
0.065,-12.400588878096164,-12.398732525975008
0.070,-12.400588878096164,-12.39886512255509
0.075,-12.400588878096164,-12.398980039591162
0.080,-12.400588878096164,-12.399080591997725
0.085,-12.400588878096164,-12.399169314709397
0.090,-12.400588878096164,-12.399248179341996
0.095,-12.400588878096164,-12.39931874243432
0.100,-12.400588878096164,-12.399382249217412
0.005,-13.196813789406583,-13.173778147175968
0.010,-13.196813789406583,-13.185295968291276
0.015,-13.196813789406583,-13.189135241996379
0.020,-13.196813789406583,-13.191054878848929
0.025,-13.196813789406583,-13.19220666096046
0.030,-13.196813789406583,-13.192974515701481
0.035,-13.196813789406583,-13.193522983373638
0.040,-13.196813789406583,-13.193934334127757
0.045,-13.196813789406583,-13.194254273603182
0.050,-13.196813789406583,-13.194510225183523
0.055,-13.196813789406583,-13.194719640112892
0.060,-13.196813789406583,-13.194894152554031
0.065,-13.196813789406583,-13.195041816927306
0.070,-13.196813789406583,-13.195168386390112
0.075,-13.196813789406583,-13.195278079924542
0.080,-13.196813789406583,-13.19537406176717
