epsilon,original,privado
0.020,-14.775969467017209,-14.807549166173986
0.025,-14.775969467017209,-14.801233226342632
0.030,-14.775969467017209,-14.78075520237204
0.035,-14.775969467017209,-14.780071525892778
0.040,-14.775969467017209,-14.801064204393267
0.045,-14.775969467017209,-14.798275900240371
0.050,-14.775969467017209,-14.781167038670258
0.055,-14.775969467017209,-14.780694532156344
0.060,-14.775969467017209,-14.788033087520038
0.065,-14.775969467017209,-14.787105116712128
0.070,-14.775969467017209,-14.785984986357208
0.075,-14.775969467017209,-14.785317285067876
0.080,-14.775969467017209,-14.797049050635238
0.085,-14.775969467017209,-14.795809075128295
0.090,-14.775969467017209,-14.782179977249545
0.095,-14.775969467017209,-14.781853108289948
0.100,-14.775969467017209,-14.778868946013292
0.005,-15.02922071835633,-15.07773487672228
0.010,-15.02922071835633,-15.047112857468996
0.015,-15.02922071835633,-15.041148811098108
0.020,-15.02922071835633,-14.979263926242405
0.025,-15.02922071835633,-14.98925528466519
0.030,-15.02922071835633,-15.043868497359512
0.035,-15.02922071835633,-15.041775957501914
0.040,-15.02922071835633,-15.025281764362251
0.045,-15.02922071835633,-15.02571942591715
0.050,-15.02922071835633,-15.036182110416384
0.055,-15.02922071835633,-15.035549256592743
0.060,-15.02922071835633,-15.027274139407428
0.065,-15.02922071835633,-15.027423876249651
0.070,-15.02922071835633,-15.030706729617412
0.075,-15.02922071835633,-15.030607662200007
0.080,-15.02922071835633,-15.036059208979104
0.085,-15.02922071835633,-15.035656944824822
0.090,-15.02922071835633,-15.038721817555471
0.095,-15.02922071835633,-15.038221759702884
0.100,-15.02922071835633,-15.036644169145463
0.005,-14.588294529036828,-14.763570450446796
0.010,-14.588294529036828,-14.338273892366486
0.015,-14.588294529036828,-14.421614104589933
0.020,-14.588294529036828,-14.53269223487549
0.025,-14.588294529036828,-14.543812693707759
0.030,-14.588294529036828,-14.590160725291799
0.035,-14.588294529036828,-14.589894125826804
0.040,-14.588294529036828,-14.629605512736227
0.045,-14.588294529036828,-14.625015403436294
0.050,-14.588294529036828,-14.600651453709544
0.055,-14.588294529036828,-14.599528096921116
0.060,-14.588294529036828,-14.6232302474025
0.065,-14.588294529036828,-14.620542884451295
0.070,-14.588294529036828,-14.587091618611767
0.075,-14.588294529036828,-14.587171812640104
0.080,-14.588294529036828,-14.582458074032012
0.085,-14.588294529036828,-14.582801394914647
0.090,-14.588294529036828,-14.5837958638083
0.095,-14.588294529036828,-14.584032635662432
0.100,-14.588294529036828,-14.589165341639221
0.005,-12.915786030595813,-12.932285637799053
0.010,-12.915786030595813,-12.982002479532563
0.015,-12.915786030595813,-12.95993032988698
0.020,-12.915786030595813,-12.946335532320147
0.025,-12.915786030595813,-12.94022563197528
0.030,-12.915786030595813,-13.000834851870847
0.035,-12.915786030595813,-12.988685020260128
0.040,-12.915786030595813,-12.90539435073941
0.045,-12.915786030595813,-12.906548981834566
0.050,-12.915786030595813,-12.909853666040418
0.055,-12.915786030595813,-12.91039297190909
0.060,-12.915786030595813,-12.891718145005202
0.065,-12.915786030595813,-12.893569520819863
0.070,-12.915786030595813,-12.915957986983624
0.075,-12.915786030595813,-12.915946523224436
0.080,-12.915786030595813,-12.912570503873003
0.085,-12.915786030595813,-12.912759652503755
0.090,-12.915786030595813,-12.925448179442737
0.095,-12.915786030595813,-12.9249396452929
0.100,-12.915786030595813,-12.917930530662504
0.005,-12.504332531234065,-12.54507803250116
0.010,-12.504332531234065,-12.491177634111555
0.015,-12.504332531234065,-12.495562599819058
0.020,-12.504332531234065,-12.488743399617151
0.025,-12.504332531234065,-12.491861225940534
0.030,-12.504332531234065,-12.492572220307444
0.035,-12.504332531234065,-12.494252264725533
0.040,-12.504332531234065,-12.505701035561055
0.045,-12.504332531234065,-12.505548979524722
0.050,-12.504332531234065,-12.511258550642294
0.055,-12.504332531234065,-12.510628912514273
0.060,-12.504332531234065,-12.493857578529758
0.065,-12.504332531234065,-12.494663344122397
0.070,-12.504332531234065,-12.521791391700832
0.075,-12.504332531234065,-12.520627467669714
0.080,-12.504332531234065,-12.495777660172974
0.085,-12.504332531234065,-12.49628088788245
0.090,-12.504332531234065,-12.497452104891787
0.095,-12.504332531234065,-12.497814232594012
0.100,-12.504332531234065,-12.502074639436158
0.005,-12.400588878096164,-12.357581415278892
0.010,-12.400588878096164,-12.31100685337224
0.015,-12.400588878096164,-12.340867528280215
0.020,-12.400588878096164,-12.342153063442138
0.025,-12.400588878096164,-12.353840226372943
0.030,-12.400588878096164,-12.405450351303275
0.035,-12.400588878096164,-12.40475585513083
0.040,-12.400588878096164,-12.402016397079016
0.045,-12.400588878096164,-12.401857783858699
0.050,-12.400588878096164,-12.402405761015018
0.055,-12.400588878096164,-12.402240589840575
0.060,-12.400588878096164,-12.35371209725359
0.065,-12.400588878096164,-12.35731800347225
0.070,-12.400588878096164,-12.402811808659019
0.075,-12.400588878096164,-12.402663613288162
0.080,-12.400588878096164,-12.409968284598616
0.085,-12.400588878096164,-12.409416554804354
0.090,-12.400588878096164,-12.367352424801199
0.095,-12.400588878096164,-12.369101711816723
0.100,-12.400588878096164,-12.398384498175435
0.005,-13.196813789406583,-13.170511882755594
0.010,-13.196813789406583,-13.183662836081089
0.015,-13.196813789406583,-13.18362312415665
0.020,-13.196813789406583,-13.186920790469134
0.025,-13.196813789406583,-13.217236742391798
0.030,-13.196813789406583,-13.213832916894262
0.035,-13.196813789406583,-13.215426906341216
0.040,-13.196813789406583,-13.213100266724387
0.045,-13.196813789406583,-13.193873073130298
0.050,-13.196813789406583,-13.194167144757927
0.055,-13.196813789406583,-13.200073377747144
0.060,-13.196813789406583,-13.19980174538543
0.065,-13.196813789406583,-13.200997843854564
0.070,-13.196813789406583,-13.200698982822566
0.075,-13.196813789406583,-13.19900403143748
0.080,-13.196813789406583,-13.198867141310549
0.085,-13.196813789406583,-13.19552499719165
0.090,-13.196813789406583,-13.195596596759147
0.095,-13.196813789406583,-13.184702480362443
0.100,-13.196813789406583,-13.185308045814649
0.005,-14.549135601441241,-14.379071130106224
0.010,-14.549135601441241,-14.464103365773733
0.015,-14.549135601441241,-14.516521812706387
0.020,-14.549135601441241,-14.5246752598901
0.025,-14.549135601441241,-14.554109042369447
0.030,-14.549135601441241,-14.553280135548079
0.035,-14.549135601441241,-14.545247220305045
0.040,-14.549135601441241,-14.54573326794707
0.045,-14.549135601441241,-14.550031701549209
0.050,-14.549135601441241,-14.549942091538412
0.055,-14.549135601441241,-14.542312590516367
0.060,-14.549135601441241,-14.542881174760108
0.065,-14.549135601441241,-14.547657928291413
0.070,-14.549135601441241,-14.547763476373543
0.075,-14.549135601441241,-14.550037012351158
0.080,-14.549135601441241,-14.549980674169287
0.085,-14.549135601441241,-14.542125296274492
0.090,-14.549135601441241,-14.542514757672645
0.095,-14.549135601441241,-14.54923887468895
0.100,-14.549135601441241,-14.549233711026565
0.005,-15.260770824479389,-15.077112563914019
0.010,-15.260770824479389,-15.168941694196704
0.015,-15.260770824479389,-15.150399835932328
0.020,-15.260770824479389,-15.177992583069093
0.025,-15.260770824479389,-15.268889372017977
0.030,-15.260770824479389,-15.267536280761545
0.035,-15.260770824479389,-15.249840424199341
0.040,-15.260770824479389,-15.251206724234347
0.045,-15.260770824479389,-15.21245970389044
0.050,-15.260770824479389,-15.217290815949335
0.055,-15.260770824479389,-15.262634706724446
0.060,-15.260770824479389,-15.262479383204024
0.065,-15.260770824479389,-15.290658794320391
0.070,-15.260770824479389,-15.288523939331748
0.075,-15.260770824479389,-15.265064940221317
0.080,-15.260770824479389,-15.264796557987447
0.085,-15.260770824479389,-15.260292474190571
0.090,-15.260770824479389,-15.260319049206617
0.095,-15.260770824479389,-15.262778778203385
0.100,-15.260770824479389,-15.262678380517185
0.005,-14.264386666156671,-14.218603265674442
0.010,-14.264386666156671,-14.241494965915557
0.015,-14.264386666156671,-14.172964215720134
0.020,-14.264386666156671,-14.195819828329268
0.025,-14.264386666156671,-14.267015750169982
0.030,-14.264386666156671,-14.266577569501097
0.035,-14.264386666156671,-14.266079706903179
0.040,-14.264386666156671,-14.265868076809866
0.045,-14.264386666156671,-14.27815874859652
0.050,-14.264386666156671,-14.276781540352534
0.055,-14.264386666156671,-14.265044598163152
0.060,-14.264386666156671,-14.264989770495946
0.065,-14.264386666156671,-14.26325245892796
0.070,-14.264386666156671,-14.263333473730011
0.075,-14.264386666156671,-14.262351316260686
0.080,-14.264386666156671,-14.262478525629184
0.085,-14.264386666156671,-14.265318370570544
0.090,-14.264386666156671,-14.265266609214217
0.095,-14.264386666156671,-14.264340727847694
0.100,-14.264386666156671,-14.264343024763143
0.005,-13.86799204344841,-14.043075265162043
0.010,-13.86799204344841,-13.955533654305226
0.015,-13.86799204344841,-13.843816319404615
0.020,-13.86799204344841,-13.849860250415563
0.025,-13.86799204344841,-13.863339508576875
0.030,-13.86799204344841,-13.864114931055463
0.035,-13.86799204344841,-13.855726949664259
0.040,-13.86799204344841,-13.857260086387278
0.045,-13.86799204344841,-13.860585075472322
0.050,-13.86799204344841,-13.861325772269932
0.055,-13.86799204344841,-13.870011803232579
0.060,-13.86799204344841,-13.869843489917232
0.065,-13.86799204344841,-13.86890875894634
0.070,-13.86799204344841,-13.868843279267915
0.075,-13.86799204344841,-13.865722161154325
0.080,-13.86799204344841,-13.865864028797706
0.085,-13.86799204344841,-13.877590322316305
0.090,-13.86799204344841,-13.877057084601422
0.095,-13.86799204344841,-13.866209509881006
0.100,-13.86799204344841,-13.866298636559376
0.005,-14.057740779656214,-13.95561411286805
0.010,-14.057740779656214,-14.006677446262133
0.015,-14.057740779656214,-14.034636449090726
0.020,-14.057740779656214,-14.040412531732098
0.025,-14.057740779656214,-14.076236147623144
0.030,-14.057740779656214,-14.073153586295321
0.035,-14.057740779656214,-14.085486070047544
0.040,-14.057740779656214,-14.082017908748629
0.045,-14.057740779656214,-14.053332542826762
0.050,-14.057740779656214,-14.053773366509708
0.055,-14.057740779656214,-14.067933250535146
0.060,-14.057740779656214,-14.067083877961903
0.065,-14.057740779656214,-14.062360522149472
0.070,-14.057740779656214,-14.06203054054281
0.075,-14.057740779656214,-14.048389106942004
0.080,-14.057740779656214,-14.048973586486643
0.085,-14.057740779656214,-14.065589134719502
0.090,-14.057740779656214,-14.065153114993764
0.095,-14.057740779656214,-14.05847516596969
0.100,-14.057740779656214,-14.058438446654016
0.005,-13.897106955828779,-13.810668855342314
