,Tempo,Memoria Utilizada (GB),Percentual Global de Processamento Utilizado
128,128,0.5149078369140625,34.9
129,129,0.5146751403808594,34.6
130,130,0.5144271850585938,35.2
131,131,0.5149002075195312,36.4
132,132,0.515411376953125,43.1
133,133,0.5148811340332031,41.1
134,134,0.5146560668945312,37.0
135,135,0.514678955078125,34.2
136,136,0.5143928527832031,34.4
137,137,0.5142021179199219,35.2
138,138,0.5141639709472656,34.0
139,139,0.5139236450195312,35.4
140,140,0.514404296875,35.1
141,141,0.514892578125,34.9
142,142,0.514923095703125,34.6
143,143,0.5151634216308594,32.3
144,144,0.5149116516113281,39.5
145,145,0.5148849487304688,41.7
146,146,0.5146827697753906,40.9
147,147,0.5144691467285156,36.7
148,148,0.51373291015625,35.9
149,149,0.51416015625,34.5
150,150,0.51416015625,34.2
151,151,0.5149803161621094,34.8
152,152,0.5144081115722656,35.8
153,153,0.5146675109863281,33.5
154,154,0.5151634216308594,34.9
155,155,0.5136909484863281,34.6
156,156,0.5144386291503906,35.7
157,157,0.5151557922363281,39.5
158,158,0.5146980285644531,41.9
159,159,0.5142173767089844,40.6
160,160,0.5149574279785156,35.0
161,161,0.5149192810058594,34.7
162,162,0.5148849487304688,35.6
163,163,0.5135002136230469,35.9
164,164,0.513916015625,33.9
165,165,0.5134391784667969,33.9
166,166,0.5144309997558594,35.0
167,167,0.514892578125,34.9
168,168,0.5143852233886719,34.4
169,169,0.5142021179199219,35.2
170,170,0.51397705078125,41.0
171,171,0.5132255554199219,42.2
172,172,0.5134773254394531,40.5
173,173,0.5137252807617188,36.0
174,174,0.5149116516113281,34.2
175,175,0.5151290893554688,36.1
176,176,0.515106201171875,33.8
177,177,0.5151252746582031,34.8
178,178,0.5146713256835938,34.0
179,179,0.5151710510253906,34.6
180,180,0.5153617858886719,34.8
181,181,0.5146446228027344,33.4
182,182,0.5142173767089844,36.6
183,183,0.5147323608398438,41.4
184,184,0.5147018432617188,42.2
185,185,0.51513671875,37.5
186,186,0.5158233642578125,35.1
187,187,0.5158309936523438,35.6
188,188,0.514373779296875,36.0
189,189,0.5151023864746094,34.1
190,190,0.5143775939941406,32.7
191,191,0.5144233703613281,35.1
192,192,0.5138969421386719,33.9
193,193,0.5136222839355469,35.7
194,194,0.5138931274414062,33.7
195,195,0.5143661499023438,38.4
196,196,0.5150566101074219,41.6
197,197,0.5141258239746094,40.9
198,198,0.5144538879394531,36.1
199,199,0.514373779296875,35.5
